X1,X2,X3,X4
5.210000000000001,3.6499999999999995,1.4200000000000002,0.25
5.069999999999999,3.41,1.4300000000000002,0.19
5.8500000000000005,2.65,4.14,1.27
5.6400000000000015,2.7299999999999995,4.029999999999999,1.23
6.55,2.9,5.54,2.05
5.83,2.75,4.2700000000000005,1.3400000000000003
4.859999999999999,3.3099999999999996,1.45,0.22000000000000003
6.630000000000001,2.96,5.5,1.9300000000000004
5.010000000000001,3.3899999999999997,1.55,0.2700000000000001
6.450000000000001,3.0300000000000002,5.33,2.1700000000000004
6.1,2.87,4.37,1.3800000000000001
6.74,3.04,5.62,1.9400000000000002
4.88,3.3299999999999996,1.4700000000000002,0.29000000000000004
6.57,2.94,5.77,2.04
6.26,2.8500000000000005,4.49,1.41
